Month,Price,CPI
Oct 2004,11.48,196.3
Sep 2004,11.97,194.5
Aug 2004,12.16,193.1
Jul 2004,12.39,193.4
Jun 2004,11.91,193.7
May 2004,10.86,193.3
Apr 2004,10.23,191.9
Mar 2004,10.98,191.5
Feb 2004,11.41,190.1
Jan 2004,11.08,188.5
Dec 2003,11.26,187.0
Nov 2003,11.65,187.1
Oct 2003,10.72,187.8
Sep 2003,10.24,188.2
Aug 2003,12.73,186.9
Jul 2003,13.84,186.3
Jun 2003,13,186.3
May 2003,12.15,186.4
Apr 2003,11.73,187.6
Mar 2003,10.62,188.2
Feb 2003,11.65,186.5
Jan 2003,11.52,185.2
Dec 2002,11.94,183.7
Nov 2002,12.09,184.0
Oct 2002,12.68,183.7
Sep 2002,12.24,183.4
Aug 2002,13.27,183.0
Jul 2002,13.77,182.2
Jun 2002,12.75,181.9
May 2002,12.11,182.6
Apr 2002,10.99,182.2
Mar 2002,11.35,181.1
Feb 2002,11.17,180.1
Jan 2002,11.32,178.9
Dec 2001,11.07,177.1
Nov 2001,11.16,178.1
Oct 2001,12.74,178.3
Sep 2001,13.13,178.8
Aug 2001,13.12,178.4
Jul 2001,13.47,178.3
Jun 2001,11.34,178.9
May 2001,9.82,177.5
Apr 2001,9.88,176.6
Mar 2001,9.89,176.2
Feb 2001,9.63,175.4
Jan 2001,8.71,174.2
